集会名	日付	時間	発表者	テーマ	イベントURL
マネジメント集会	2025年04月26日	21:00 - 22:00	あんでぃ	Re：コミュニケーションからはじめるマネジメント	https://vrc-ta-hub.com/event/detail/341/
個人開発集会	2025年04月24日	22:00 - 22:30	かぐ(Kagu)	未経験のフレームワークでも、AIと一緒なら実装できた話	https://vrc-ta-hub.com/event/detail/343/
VRChat物理学集会	2025年04月19日	22:30 - 23:00	さめ（мег-сск）	GPSで活躍する相対論！　〜人工衛星はどのようにスマートフォンの位置を測るのか？〜	https://vrc-ta-hub.com/event/detail/332/
UIUXデザイン集会	2025年04月11日	22:20 - 22:40	余暇	整理という名の苦行: なぜデジタルツールを使っても情報は片付かないのか？	https://vrc-ta-hub.com/event/detail/345/
VRC微分音集会	2025年04月11日	22:05 - 22:50	MisohitoNakai	Erv Wilsonの音階の構築方法	https://vrc-ta-hub.com/event/detail/330/
個人開発集会	2025年04月10日	22:00 - 22:30	YusukeSTRONG	気軽にオフ会できるアプリをリリースした	https://vrc-ta-hub.com/event/detail/344/
ML集会	2025年04月02日	22:00 - 22:30	GesonAnko	"P-AMI<Q>の進捗報告LT ""Weekly P-AMI<Q>""2"	https://vrc-ta-hub.com/event/detail/340/
個人開発集会	2025年03月27日	22:00 - 22:30	rin_dguiterさん	プログラミング初心者がAITuberを開発してみた	https://vrc-ta-hub.com/event/detail/335/
ML集会	2025年03月26日	22:00 - 22:30	GesonAnko	"P-AMI<Q>の進捗報告LT ""Weekly P-AMI<Q>""1"	https://vrc-ta-hub.com/event/detail/339/
CS集会	2025年03月25日	22:15 - 22:30	kimkim0106	ゲームボーイに画像表示させよう！	https://vrc-ta-hub.com/event/detail/329/
CS集会	2025年03月25日	22:00 - 22:15	kimkim0106	Perlでゲームボーイアセンブラプログラミング	https://vrc-ta-hub.com/event/detail/328/
ITエンジニア キャリア相談・雑談集会	2025年03月23日	21:30 - 22:00	Teacup	インフラ(IT)エンジニア向けRedHatラーニングのススメ	https://vrc-ta-hub.com/event/detail/326/
データサイエンティスト集会	2025年03月20日	22:00 - 22:10	さめ（meg-ssk)	フォン=ミーゼス分布が解き明かす図形の特徴　〜データサイエンスの幾何学への応用〜	https://vrc-ta-hub.com/event/detail/338/
個人開発集会	2025年03月13日	22:00 - 22:30	らて	LLM搭載音声アシスタントを作ってる	https://vrc-ta-hub.com/event/detail/310/
CS集会	2025年03月11日	21:00 - 21:30	上羽未栞（a.k.a. KusaReMKN）	世も令和になって久しいのでオレオレIP電話網や黒電話で遊んでみる	https://vrc-ta-hub.com/event/detail/325/
バックエンド集会	2025年03月08日	22:30 - 23:00	かるだん	みんなが使ってるサービスの裏側	https://vrc-ta-hub.com/event/detail/323/
株式投資座談会	2025年03月08日	21:00 - 21:30	TAK1123	2025/3/8(土)開催分　VRC株式投資座談会	https://vrc-ta-hub.com/event/detail/324/
VRC微分音集会	2025年03月07日	22:05 - 22:50	MisohitoNakai	Karplus/Strong法を用いた 微分音Colour Bassの音作り	https://vrc-ta-hub.com/event/detail/315/
セキュリティ集会 in VRChat	2025年03月02日	21:00 - 21:30	kumama_nui	ランサムウェア報告書を読む	https://vrc-ta-hub.com/event/detail/322/
データサイエンティスト集会	2025年02月24日	21:00 - 23:00	事前申し込みされた方たち	VRChatイベントカレンダーデータ分析イベント　発表会	https://vrc-ta-hub.com/event/detail/311/
